timestamp,open,high,low,close,volume
2021-12-01,321.7000,325.8100,318.2400,318.2900,2459518
2021-11-30,320.3600,320.7800,315.8000,318.1400,3243951
2021-11-29,321.5000,322.6500,318.6200,320.7400,1857236
2021-11-26,323.1800,324.4700,319.1400,320.5700,1318969
2021-11-24,325.3200,328.2950,324.8400,327.2500,1327409
2021-11-23,328.9800,331.4600,328.5400,330.2500,986831
2021-11-22,332.7700,334.3700,329.7400,329.7400,955475
2021-11-19,331.8200,333.2400,330.4700,332.1900,2067016
2021-11-18,331.4600,331.7600,329.1650,331.0000,1762882
2021-11-17,334.3400,334.4300,331.0700,331.4800,1304642
2021-11-16,333.9500,335.3200,332.8700,332.9700,1604336
2021-11-15,336.7300,336.7300,332.7600,334.0100,1274875
2021-11-12,337.7800,337.7800,335.5600,337.0200,1040841
2021-11-11,337.5800,337.7800,335.6400,335.6600,924857
2021-11-10,337.6700,338.6400,335.5100,336.6200,1540074
2021-11-09,339.9800,340.1600,337.5300,338.6200,1756424
2021-11-08,335.3300,337.9000,335.0600,337.5300,1448727
2021-11-05,331.4800,332.6100,330.6600,331.9900,1693199
2021-11-04,329.4000,331.6300,328.3400,331.5000,1628309
2021-11-03,329.8900,330.1600,325.3000,328.4100,1856410
2021-11-02,327.1340,328.7400,326.0200,327.5700,2012272
2021-11-01,321.4200,324.3200,320.4800,322.9700,1365156
2021-10-29,317.6400,322.7200,316.8500,319.2000,1890859
2021-10-28,316.4500,318.4500,315.6200,317.9600,1564973
2021-10-27,319.5000,321.4200,316.7600,318.9700,1535968
2021-10-26,317.8400,319.1100,316.6800,316.7700,1069820
2021-10-25,315.0700,317.7800,313.9600,316.6800,1225360
2021-10-22,313.0400,314.9900,312.8500,314.1500,1214757
2021-10-21,311.1700,311.6000,308.4100,311.3100,857043
2021-10-20,311.1500,312.0000,310.2100,311.2200,745273
2021-10-19,308.0400,310.9900,306.9700,310.6800,984768
2021-10-18,307.2800,308.5300,305.7700,307.9700,1010567
2021-10-15,308.5100,309.5400,306.5800,308.2400,1230456
2021-10-14,304.3500,309.1350,303.6400,308.7700,1126439
2021-10-13,298.7700,302.1300,297.8700,300.9900,1429973
2021-10-12,295.7200,297.0900,294.2100,295.8100,1063874
2021-10-11,295.5600,298.1800,294.7000,294.8400,748779
2021-10-08,299.6500,300.3100,295.6850,296.1900,909492
2021-10-07,297.5200,302.3800,297.4500,299.1600,1375830
2021-10-06,293.8400,296.2400,290.2700,296.0500,2050252
2021-10-05,294.8300,299.6600,294.2500,297.8300,1360033
